#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
0304,Aron,Steel Rock,121,141,137,50%,20%,Metal ClawTackle,Body SlamIron HeadRock TombFrustration (Shadow)Return (Purified)
0305,Lairon,Steel Rock,158,198,155,25%,9%,Iron TailMetal Claw,Body SlamHeavy SlamRock SlideRock TombFrustration (Shadow)Return (Purified)
0306,Aggron,Steel Rock,198,257,172,12.5%,6%,Dragon TailIron TailSmack Down,Heavy SlamMeteor BeamRock TombStone EdgeThunderFrustration (Shadow)Return (Purified)
0306,Aggron Mega Aggron,Steel,247,331,172,12.5%,6%,,
0307,Meditite,Fighting Psychic,78,107,102,50%,10%,ConfusionRock Smash,Ice PunchLow SweepPsyshock
0308,Medicham,Fighting Psychic,121,152,155,20%,6%,CounterPsycho Cut,Dynamic PunchIce PunchPower-Up PunchPsychic
0308,Medicham Mega Medicham,Fighting Psychic,205,179,155,20%,6%,,
0309,Electrike,Electric,123,78,120,50%,10%,Quick AttackSpark,DischargeSwiftThunderboltFrustration (Shadow)Return (Purified)
0310,Manectric,Electric,215,127,172,20%,6%,Charge BeamSnarlThunder Fang,Flame BurstOverheatPsychic FangsThunderWild ChargeFrustration (Shadow)Return (Purified)
0310,Manectric Mega Manectric,Electric,286,179,172,20%,6%,,
0311,Plusle,Electric,167,129,155,30%,9%,Quick AttackSpark,DischargeGrass KnotSwiftThunderbolt
0312,Minun,Electric,147,150,155,30%,9%,Quick AttackSpark,DischargeGrass KnotSwiftThunderbolt
0313,Volbeat,Bug,143,166,163,30%,9%,Struggle BugTackle,Bug BuzzSignal BeamThunderbolt
0314,Illumise,Bug,143,166,163,30%,9%,Struggle BugTackle,Bug BuzzDazzling GleamSilver Wind
0315,Roselia,Grass Poison,186,131,137,30%,9%,Magical LeafPoison JabRazor Leaf,Dazzling GleamPetal BlizzardSludge Bomb
0316,Gulpin,Poison,80,99,172,50%,10%,PoundRock Smash,Gunk ShotIce BeamSludge
0317,Swalot,Poison,140,159,225,20%,6%,InfestationMud ShotRock Smash,Acid SprayGunk ShotIce BeamSludge Bomb
0318,Carvanha,Water Dark,171,39,128,50%,10%,BiteSnarl,Aqua JetCrunchPoison FangFrustration (Shadow)Return (Purified)
0319,Sharpedo,Water Dark,243,83,172,20%,6%,BiteWaterfall,CrunchHydro PumpPoison FangFrustration (Shadow)Return (Purified)
0320,Wailmer,Water,136,68,277,50%,10%,SplashWater Gun,Body SlamHeavy SlamScaldWater PulseFrustration (Shadow)Return (Purified)
0321,Wailord,Water,175,87,347,20%,6%,Water GunZen Headbutt,BlizzardHyper BeamScaldSurfFrustration (Shadow)Return (Purified)
0322,Numel,Fire Ground,119,79,155,50%,10%,EmberTackle,BulldozeHeat WaveStompFrustration (Shadow)Return (Purified)
0323,Camerupt,Fire Ground,194,136,172,20%,6%,EmberIncinerateRock Smash,Earth PowerEarthquakeOverheatSolar BeamFrustration (Shadow)Return (Purified)
0324,Torkoal,Fire,151,203,172,30%,9%,EmberFire Spin,EarthquakeOverheatSolar Beam
0325,Spoink,Psychic,125,122,155,50%,10%,SplashZen Headbutt,Mirror CoatPsybeamShadow BallFrustration (Shadow)Return (Purified)
0326,Grumpig,Psychic,171,188,190,20%,6%,Charge BeamExtrasensory,Mirror CoatPsychicShadow BallFrustration (Shadow)Return (Purified)
0327,Spinda,Normal,116,116,155,30%,9%,Psycho CutSucker Punch,DigIcy WindRock Tomb
0328,Trapinch,Ground,162,78,128,40%,9%,Mud ShotStruggle Bug,CrunchDigSand TombScorching SandsFrustration (Shadow)Return (Purified)
0329,Vibrava,Ground Dragon,134,99,137,10%,6%,Dragon BreathMud Shot,Bug BuzzBulldozeSand TombScorching SandsFrustration (Shadow)Return (Purified)
0330,Flygon,Ground Dragon,205,168,190,5%,5%,Dragon TailMud Shot,BoomburstDragon ClawEarthquakeScorching SandsStone EdgeEarth Power (Community Day)Frustration (Shadow)Return (Purified)
0331,Cacnea,Grass,156,74,137,50%,10%,Poison StingSucker Punch,Brick BreakGrass KnotPaybackSeed BombTrailblazeFrustration (Shadow)Return (Purified)
0332,Cacturne,Grass Dark,221,115,172,20%,6%,Poison JabSucker Punch,Dark PulseDynamic PunchGrass KnotPaybackTrailblazeFrustration (Shadow)Return (Purified)
0333,Swablu,Normal Flying,76,132,128,50%,10%,AstonishPeck,Aerial AceDisarming VoiceIce Beam
0334,Altaria,Dragon Flying,141,201,181,20%,6%,Dragon BreathPeck,Dazzling GleamDragon PulseSky AttackMoonblast (Community Day)
0334,Altaria Mega Altaria,Dragon Fairy,222,218,181,20%,6%,,
0335,Zangoose,Normal,222,124,177,30%,9%,Fury CutterShadow Claw,Close CombatDigNight Slash
0336,Seviper,Poison,196,118,177,30%,9%,Iron TailPoison Jab,CrunchPoison FangWrap
0337,Lunatone,Rock Psychic,178,153,207,30%,9%,ConfusionRock Throw,MoonblastPsychicRock Slide
0338,Solrock,Rock Psychic,178,153,207,30%,9%,ConfusionRock Throw,PsychicRock SlideSolar Beam
0339,Barboach,Water Ground,93,82,137,50%,10%,Mud ShotWater Gun,Aqua TailIce BeamMud BombScaldFrustration (Shadow)Return (Purified)
0340,Whiscash,Water Ground,151,141,242,20%,6%,Mud ShotWater Gun,BlizzardMud BombScaldWater PulseFrustration (Shadow)Return (Purified)
0341,Corphish,Water,141,99,125,50%,10%,BubbleRock Smash,Aqua JetBubble BeamRazor ShellScaldVise GripFrustration (Shadow)Return (Purified)
0342,Crawdaunt,Water Dark,224,142,160,20%,6%,SnarlWaterfall,Bubble BeamCrabhammerNight SlashRazor ShellScaldVise GripFrustration (Shadow)Return (Purified)
0343,Baltoy,Ground Psychic,77,124,120,50%,10%,ConfusionExtrasensory,DigGyro BallPsybeam
0344,Claydol,Ground Psychic,140,229,155,20%,6%,ConfusionExtrasensoryMud-Slap,Earth PowerEarthquakeGyro BallIce BeamPsychicRock TombScorching SandsShadow Ball
0345,Lileep,Rock Grass,105,150,165,50%,10%,AcidInfestation,Ancient PowerGrass KnotMirror CoatFrustration (Shadow)Return (Purified)
0346,Cradily,Rock Grass,152,194,200,20%,6%,AcidBullet SeedInfestation,BulldozeGrass KnotRock SlideStone EdgeFrustration (Shadow)Return (Purified)
0347,Anorith,Rock Bug,176,100,128,50%,10%,ScratchStruggle Bug,Ancient PowerAqua JetCross PoisonFrustration (Shadow)Return (Purified)
0348,Armaldo,Rock Bug,222,174,181,20%,6%,Fury CutterStruggle Bug,Cross PoisonLiquidationRock BlastWater PulseFrustration (Shadow)Return (Purified)
0349,Feebas,Water,29,85,85,70%,15%,SplashTackle,Mirror CoatFrustration (Shadow)Return (Purified)
0350,Milotic,Water,192,219,216,10%,7%,Dragon TailWaterfall,BlizzardHyper BeamSurfFrustration (Shadow)Return (Purified)
0351,Castform,Normal,139,139,172,30%,10%,HexTackle,Energy BallHurricaneWeather Ball - RockWeather Ball - Normal
0351,Castform Sunny Form,Fire,139,139,172,30%,10%,EmberTackle,Fire BlastSolar BeamWeather Ball - Fire
0351,Castform Rainy Form,Water,139,139,172,30%,10%,TackleWater Gun,Hydro PumpThunderWeather Ball - Water
0351,Castform Snowy Form,Ice,139,139,172,30%,10%,Powder SnowTackle,BlizzardIce BeamWeather Ball - Ice
0352,Kecleon,Normal,161,189,155,30%,10%,LickSucker Punch,Aerial AceFlamethrowerFoul PlayIce BeamShadow SneakThunder
0353,Shuppet,Ghost,138,65,127,40%,10%,AstonishFeint Attack,Night ShadeOminous WindShadow SneakFrustration (Shadow)Return (Purified)
0354,Banette,Ghost,218,126,162,20%,7%,HexShadow Claw,Dazzling GleamShadow BallThunderFrustration (Shadow)Return (Purified)
0354,Banette Mega Banette,Ghost,312,160,162,20%,7%,,
0355,Duskull,Ghost,70,162,85,40%,10%,AstonishHex,Night ShadeOminous WindShadow SneakFrustration (Shadow)Return (Purified)
0356,Dusclops,Ghost,124,234,120,20%,7%,Feint AttackHex,Fire PunchIce PunchPoltergeistShadow PunchFrustration (Shadow)Return (Purified)
0357,Tropius,Grass Flying,136,163,223,30%,10%,Air SlashRazor Leaf,Aerial AceLeaf BladeStomp
0358,Chimecho,Psychic,175,170,181,30%,10%,AstonishExtrasensory,Energy BallPsyshockShadow Ball
0359,Absol,Dark,246,120,163,50%,10%,Psycho CutSnarl,Dark PulseMegahornPaybackThunderFrustration (Shadow)Return (Purified)
0359,Absol Mega Absol,Dark,314,130,163,50%,10%,,
0360,Wynaut,Psychic,41,86,216,30%,10%,CounterSplash,Mirror Coat
0361,Snorunt,Ice,95,95,137,50%,10%,HexPowder Snow,AvalancheIcy WindShadow BallFrustration (Shadow)Return (Purified)
0362,Glalie,Ice,162,162,190,20%,6%,Frost BreathIce Shard,AvalancheGyro BallShadow BallFrustration (Shadow)Return (Purified)
0362,Glalie Mega Glalie,Ice,252,168,190,20%,6%,,
0363,Spheal,Ice Water,95,90,172,50%,10%,Rock SmashWater Gun,Aurora BeamBody SlamWater PulseFrustration (Shadow)Return (Purified)
0364,Sealeo,Ice Water,137,132,207,25%,7%,Powder SnowWater Gun,Aurora BeamBody SlamWater PulseFrustration (Shadow)Return (Purified)
0365,Walrein,Ice Water,182,176,242,12.5%,5%,Frost BreathWaterfallPowder Snow (Community Day),BlizzardEarthquakeWater PulseIcicle Spear (Community Day)Frustration (Shadow)Return (Purified)
0366,Clamperl,Water,133,135,111,50%,10%,Water Gun,Body SlamIce BeamWater Pulse
0367,Huntail,Water,197,179,146,20%,6%,BiteWater Gun,Aqua TailCrunchIce Beam
0368,Gorebyss,Water,211,179,146,20%,6%,ConfusionWater Gun,Draining KissPsychicWater Pulse
0369,Relicanth,Water Rock,162,203,225,90%,1%,Water GunZen Headbutt,Ancient PowerAqua TailHydro Pump
0370,Luvdisc,Water,81,128,125,30%,10%,SplashWater Gun,Aqua JetDraining KissWater Pulse
0371,Bagon,Dragon,134,93,128,40%,9%,BiteEmber,CrunchFlamethrowerTwisterFrustration (Shadow)Return (Purified)
0372,Shelgon,Dragon,172,155,163,10%,6%,Dragon BreathEmber,Dragon PulseFlamethrowerTwisterFrustration (Shadow)Return (Purified)
0373,Salamence,Dragon Flying,277,168,216,5%,5%,BiteDragon TailFire Fang,Draco MeteorFire BlastHydro PumpOutrage (Community Day)Frustration (Shadow)Return (Purified)
0373,Salamence Mega Salamence,Dragon Flying,310,251,216,5%,5%,,
0374,Beldum,Steel Psychic,96,132,120,40%,9%,Take Down,StruggleFrustration (Shadow)Return (Purified)
0375,Metang,Steel Psychic,138,176,155,10%,6%,Metal ClawZen Headbutt,Gyro BallPsychicPsyshockFrustration (Shadow)Return (Purified)
0376,Metagross,Steel Psychic,257,228,190,5%,5%,Bullet PunchZen Headbutt,EarthquakeFlash CannonPsychicMeteor Mash (Community Day)Frustration (Shadow)Return (Purified)
0377,Regirock,Rock,179,309,190,2%,1%,Lock-OnRock SmashRock Throw,Focus BlastStone EdgeZap CannonEarthquake (legacy)Frustration (Shadow)Return (Purified)
0378,Regice,Ice,179,309,190,2%,1%,Frost BreathLock-OnRock Smash,BlizzardEarthquakeFocus BlastThunderFrustration (Shadow)Return (Purified)
0379,Registeel,Steel,143,285,190,2%,1%,Lock-OnMetal ClawRock Smash,Flash CannonFocus BlastHyper BeamZap CannonFrustration (Shadow)Return (Purified)
0380,Latias,Dragon Psychic,228,246,190,2%,1%,CharmDragon BreathZen Headbutt,OutragePsychicThunderMist Ball (legacy)Frustration (Shadow)Return (Purified)
0380,Latias Mega Latias,Dragon Psychic,289,297,190,2%,1%,,
0381,Latios,Dragon Psychic,268,212,190,2%,1%,Dragon BreathZen Headbutt,Dragon ClawPsychicSolar BeamLuster Purge (legacy)Frustration (Shadow)Return (Purified)
0381,Latios Mega Latios,Dragon Psychic,335,241,190,2%,1%,,
0382,Kyogre,Water,270,228,205,2%,1%,Waterfall,BlizzardHydro PumpSurfThunderOrigin Pulse (legacy)Frustration (Shadow)Return (Purified)
0382,Kyogre Primal Kyogre,Water,353,268,218,2%,1%,,
0383,Groudon,Ground,270,228,205,2%,1%,Dragon TailMud Shot,EarthquakeFire BlastSolar BeamFire Punch (legacy)Precipice Blades (legacy)
0383,Groudon Primal Groudon,Ground Fire,353,268,218,2%,1%,,
0384,Rayquaza,Dragon Flying,284,170,213,2%,1%,Air SlashDragon Tail,Aerial AceAncient PowerOutrageBreaking Swipe (legacy)Dragon Ascent (legacy)Hurricane (legacy)
0384,Rayquaza Mega Rayquaza,Dragon Flying,377,210,227,2%,1%,,
0385,Jirachi,Steel Psychic,210,210,225,100%,0%,Charge BeamConfusion,Dazzling GleamDoom DesirePsychic
0386,Deoxys Normal Forme,Psychic,345,115,137,2%,1%,Charge BeamZen Headbutt,Hyper BeamPsycho BoostZap Cannon
0386,Deoxys Attack Forme,Psychic,414,46,137,2%,1%,Poison JabZen Headbutt,Dark PulsePsycho BoostZap Cannon
0386,Deoxys Defense Forme,Psychic,144,330,137,2%,1%,CounterZen Headbutt,Psycho BoostRock SlideThunderbolt
0386,Deoxys Speed Forme,Psychic,230,218,137,2%,1%,Charge BeamZen Headbutt,Psycho BoostSwiftThunderbolt
0387,Turtwig,Grass,119,110,146,20%,10%,Razor LeafTackle,Body SlamEnergy BallSeed BombFrustration (Shadow)Return (Purified)
0388,Grotle,Grass,157,143,181,10%,7%,BiteRazor Leaf,Body SlamEnergy BallSolar BeamFrustration (Shadow)Return (Purified)
0389,Torterra,Grass Ground,202,188,216,5%,5%,BiteRazor Leaf,EarthquakeSand TombSolar BeamStone EdgeFrenzy Plant (Community Day)Frustration (Shadow)Return (Purified)
0390,Chimchar,Fire,113,86,127,20%,10%,EmberScratch,Flame ChargeFlame WheelFlamethrowerFrustration (Shadow)Return (Purified)
0391,Monferno,Fire Fighting,158,105,162,10%,7%,EmberRock Smash,Flame WheelFlamethrowerLow SweepFrustration (Shadow)Return (Purified)
0392,Infernape,Fire Fighting,222,151,183,5%,5%,Fire SpinRock Smash,Close CombatFlamethrowerSolar BeamBlast Burn (Community Day)Frustration (Shadow)Return (Purified)
0393,Piplup,Water,112,102,142,20%,10%,BubblePound,Bubble BeamDrill PeckIcy WindFrustration (Shadow)Return (Purified)
0394,Prinplup,Water,150,139,162,10%,7%,BubbleMetal Claw,Bubble BeamHydro PumpIcy WindFrustration (Shadow)Return (Purified)
0395,Empoleon,Water Steel,210,186,197,5%,5%,Metal ClawWaterfall,BlizzardDrill PeckFlash CannonHydro PumpHydro Cannon (Community Day)Frustration (Shadow)Return (Purified)
0396,Starly,Normal Flying,101,58,120,50%,20%,Quick AttackTackle,Aerial AceBrave BirdFlyFrustration (Shadow)Return (Purified)
0397,Staravia,Normal Flying,142,94,146,25%,9%,Quick AttackWing Attack,Aerial AceBrave BirdFlyHeat WaveFrustration (Shadow)Return (Purified)
0398,Staraptor,Normal Flying,234,140,198,12.5%,6%,Quick AttackWing AttackGust (Community Day),Brave BirdClose CombatFlyHeat WaveFrustration (Shadow)Return (Purified)
0399,Bidoof,Normal,80,73,153,50%,20%,TackleTake Down,CrunchGrass KnotHyper FangIce Beam (legacy)Shadow Ball (legacy)Superpower (legacy)Thunderbolt (legacy)Frustration (Shadow)Return (Purified)
0400,Bibarel,Normal Water,162,119,188,20%,7%,Take DownWater Gun,Hyper BeamHyper FangSurfFrustration (Shadow)Return (Purified)
0401,Kricketot,Bug,45,74,114,50%,20%,Bug BiteStruggle Bug,Struggle
0402,Kricketune,Bug,160,100,184,20%,7%,Fury CutterStruggle Bug,Aerial AceBug BuzzX-Scissor
0403,Shinx,Electric,117,64,128,50%,10%,SparkTackle,DischargeSwiftThunderboltFrustration (Shadow)Return (Purified)
0404,Luxio,Electric,159,95,155,25%,7%,BiteSpark,CrunchThunderboltWild ChargeFrustration (Shadow)Return (Purified)
0405,Luxray,Electric,232,156,190,12.5%,5%,Hidden PowerSnarlSpark,CrunchHyper BeamWild ChargePsychic Fangs (Community Day)Frustration (Shadow)Return (Purified)
0406,Budew,Grass Poison,91,109,120,10%,4%,Hidden PowerRazor Leaf,Energy BallGrass Knot
0407,Roserade,Grass Poison,243,185,155,15%,7%,Magical LeafPoison JabRazor LeafBullet Seed (Community Day),Dazzling GleamGrass KnotLeaf StormSludge BombSolar BeamWeather Ball - Fire (Community Day)
0408,Cranidos,Rock,218,71,167,50%,10%,Take DownZen Headbutt,Ancient PowerBulldozeRock TombFrustration (Shadow)Return (Purified)
0409,Rampardos,Rock,295,109,219,20%,6%,Smack DownZen Headbutt,FlamethrowerOutrageRock SlideFrustration (Shadow)Return (Purified)
0410,Shieldon,Rock Steel,76,195,102,50%,10%,Iron TailTackle,Ancient PowerHeavy SlamRock TombFrustration (Shadow)Return (Purified)
0411,Bastiodon,Rock Steel,94,286,155,20%,6%,Iron TailSmack Down,FlamethrowerFlash CannonStone EdgeFrustration (Shadow)Return (Purified)
0412,Burmy Plant Cloak,Bug,53,83,120,50%,20%,Bug BiteTackle,Struggle
0412,Burmy Sandy Cloak,Bug,53,83,120,50%,0%,Bug BiteTackle,Struggle
0412,Burmy Trash Cloak,Bug,53,83,120,50%,0%,Bug BiteTackle,Struggle
0413,Wormadam Plant Cloak,Bug Grass,141,180,155,15%,7%,Bug BiteConfusion,Bug BuzzEnergy BallPsybeam
0413,Wormadam Sandy Cloak,Bug Ground,141,180,155,15%,7%,Bug BiteConfusion,Bug BuzzBulldozePsybeam
0413,Wormadam Trash Cloak,Bug Steel,127,175,155,15%,7%,Bug BiteConfusion,Bug BuzzIron HeadPsybeam
0414,Mothim,Bug Flying,185,98,172,15%,7%,Air SlashBug Bite,Aerial AceBug BuzzPsybeam
0415,Combee,Bug Flying,59,83,102,15%,7%,Bug Bite,Bug Buzz
0416,Vespiquen,Bug Flying,149,190,172,15%,7%,Air SlashBug BiteFury CutterPoison Sting,Bug BuzzFell StingerPower GemSignal BeamX-Scissor
0417,Pachirisu,Electric,94,172,155,30%,9%,SparkVolt Switch,ThunderThunder PunchThunderbolt
0418,Buizel,Water,132,67,146,50%,10%,Quick AttackWater Gun,Aqua JetSwiftWater Pulse
0419,Floatzel,Water,221,114,198,20%,6%,Water GunWaterfall,Aqua JetHydro PumpLiquidationSwift
0420,Cherubi,Grass,108,92,128,50%,9%,Bullet SeedTackle,Dazzling GleamPetal BlizzardSeed Bomb
0421,Cherrim Overcast Form,Grass,170,153,172,10%,7%,Bullet SeedRazor Leaf,Dazzling GleamHyper BeamSolar Beam
0421,Cherrim Sunshine Form,Grass,170,153,172,10%,7%,Bullet SeedRazor Leaf,Dazzling GleamHyper BeamSolar BeamWeather Ball - Fire
0422,Shellos East Sea,Water,103,105,183,50%,10%,Hidden PowerMud-Slap,Body SlamMud BombWater Pulse
0422,Shellos West Sea,Water,103,105,183,50%,0%,Hidden PowerMud-Slap,Body SlamMud BombWater Pulse
0423,Gastrodon East Sea,Water Ground,169,143,244,20%,6%,Hidden PowerMud-Slap,Body SlamEarth PowerWater Pulse
0423,Gastrodon West Sea,Water Ground,169,143,244,20%,0%,Hidden PowerMud-Slap,Body SlamEarth PowerWater Pulse
0424,Ambipom,Normal,205,143,181,20%,6%,AstonishScratch,Aerial AceHyper BeamLow SweepFrustration (Shadow)Return (Purified)
0425,Drifloon,Ghost Flying,117,80,207,40%,10%,AstonishHex,Icy WindOminous WindShadow BallFrustration (Shadow)Return (Purified)
0426,Drifblim,Ghost Flying,180,102,312,20%,7%,AstonishHex,Icy WindMystical FireOminous WindShadow BallFrustration (Shadow)Return (Purified)
0427,Buneary,Normal,130,105,146,50%,10%,PoundQuick Attack,Fire PunchSwift
0428,Lopunny,Normal,156,194,163,20%,6%,Double KickLow KickPound,Fire PunchFocus BlastHyper BeamTriple Axel
0428,Lopunny Mega Lopunny,Normal Fighting,282,214,163,20%,6%,,
0429,Mismagius,Ghost,211,187,155,10%,7%,HexMagical LeafSucker Punch,Dark PulseDazzling GleamShadow BallFrustration (Shadow)Return (Purified)
0430,Honchkrow,Dark Flying,243,103,225,10%,7%,PeckSnarl,Brave BirdDark PulsePsychicSky AttackFrustration (Shadow)Return (Purified)
0431,Glameow,Normal,109,82,135,40%,10%,Quick AttackScratch,Aerial AcePlay RoughThunderboltFrustration (Shadow)Return (Purified)
0432,Purugly,Normal,172,133,174,15%,8%,ScratchShadow Claw,Aerial AcePlay RoughThunderFrustration (Shadow)Return (Purified)
0433,Chingling,Psychic,114,94,128,10%,4%,AstonishZen Headbutt,PsyshockShadow BallWrap
0434,Stunky,Poison Dark,121,90,160,50%,10%,BiteScratch,CrunchFlamethrowerSludge BombTrailblazeFrustration (Shadow)Return (Purified)
0435,Skuntank,Poison Dark,184,132,230,20%,6%,BitePoison Jab,CrunchFlamethrowerSludge BombTrailblazeFrustration (Shadow)Return (Purified)
0436,Bronzor,Steel Psychic,43,154,149,50%,10%,ConfusionTackle,Gyro BallHeavy SlamPaybackPsyshock
0437,Bronzong,Steel Psychic,161,213,167,20%,6%,ConfusionFeint Attack,BulldozeFlash CannonHeavy SlamPaybackPsychicPsyshock
0438,Bonsly,Rock,124,133,137,10%,4%,CounterRock Throw,EarthquakeRock SlideRock Tomb
0439,Mime Jr.,Psychic Fairy,125,142,85,10%,4%,ConfusionPound,PsybeamPsychicPsyshock
0440,Happiny,Normal,25,77,225,10%,4%,PoundZen Headbutt,Psychic
0441,Chatot,Normal Flying,183,91,183,30%,9%,PeckSteel Wing,Heat WaveNight ShadeSky Attack
0442,Spiritomb,Ghost Dark,169,199,137,10%,4%,Feint AttackSucker Punch,Ominous WindShadow BallShadow Sneak
0443,Gible,Dragon Ground,124,84,151,40%,9%,Mud ShotTake Down,Body SlamDigTwisterFrustration (Shadow)Return (Purified)
0444,Gabite,Dragon Ground,172,125,169,10%,6%,Mud ShotTake Down,DigFlamethrowerTwisterFrustration (Shadow)Return (Purified)
0445,Garchomp,Dragon Ground,261,193,239,5%,5%,Dragon TailMud Shot,EarthquakeFire BlastOutrageSand TombEarth Power (Community Day)Frustration (Shadow)Return (Purified)
0446,Munchlax,Normal,137,117,286,10%,4%,LickTackle,Body SlamBulldozeGunk Shot
0447,Riolu,Fighting,127,78,120,25%,20%,CounterQuick Attack,Blaze KickBrick BreakCross ChopLow Sweep
0448,Lucario,Fighting Steel,236,144,172,10%,5%,Bullet PunchCounter,Aura SphereBlaze KickClose CombatFlash CannonPower-Up PunchShadow Ball
0449,Hippopotas,Ground,124,118,169,40%,10%,BiteTackle,Body SlamDigRock TombFrustration (Shadow)Return (Purified)
0450,Hippowdon,Ground,201,191,239,15%,8%,BiteFire FangIce FangThunder Fang,Body SlamEarth PowerEarthquakeScorching SandsStone EdgeWeather Ball - RockFrustration (Shadow)Return (Purified)
0451,Skorupi,Poison Bug,93,151,120,40%,10%,InfestationPoison Sting,Aqua TailCross PoisonSludge BombFrustration (Shadow)Return (Purified)
0452,Drapion,Poison Dark,180,202,172,15%,8%,BiteIce FangInfestationPoison Sting,Aqua TailCrunchFell StingerSludge BombFrustration (Shadow)Return (Purified)
0453,Croagunk,Poison Fighting,116,76,134,40%,12%,Mud ShotPoison JabPoison Sting,Brick BreakLow SweepSludge BombFrustration (Shadow)Return (Purified)
0454,Toxicroak,Poison Fighting,211,133,195,15%,7%,CounterMud ShotPoison Jab,Dynamic PunchMud BombShadow BallSludge BombFrustration (Shadow)Return (Purified)
0455,Carnivine,Grass,187,136,179,90%,1%,BiteVine Whip,CrunchEnergy BallPower Whip
0456,Finneon,Water,96,116,135,50%,10%,PoundWater Gun,Ice BeamSilver WindWater Pulse
0457,Lumineon,Water,142,170,170,20%,6%,Water GunWaterfall,BlizzardSilver WindWater Pulse
0458,Mantyke,Water Flying,105,179,128,10%,4%,BubbleTackle,Aerial AceIce BeamWater Pulse
0459,Snover,Grass Ice,115,105,155,30%,10%,Ice ShardLeafagePowder Snow,Energy BallIce BeamStompFrustration (Shadow)Return (Purified)
0460,Abomasnow,Grass Ice,178,158,207,12.5%,6%,LeafagePowder SnowRazor Leaf,BlizzardEnergy BallIcy WindOutrageWeather Ball - IceFrustration (Shadow)Return (Purified)
0460,Abomasnow Mega Abomasnow,Grass Ice,240,191,207,12.5%,6%,,
0461,Weavile,Dark Ice,243,171,172,15%,9%,Feint AttackIce ShardSnarl,AvalancheFocus BlastFoul PlayTriple AxelFrustration (Shadow)Return (Purified)
0462,Magnezone,Electric Steel,238,205,172,12.5%,5%,Charge BeamSparkVolt Switch,Flash CannonMirror ShotWild ChargeZap CannonFrustration (Shadow)Return (Purified)
0463,Lickilicky,Normal,161,181,242,15%,9%,LickZen Headbutt,EarthquakeHyper BeamShadow BallSolar BeamBody Slam (legacy)
0464,Rhyperior,Ground Rock,241,190,251,5%,5%,Mud-SlapSmack Down,Breaking SwipeEarthquakeSkull BashStone EdgeSuperpowerSurfRock Wrecker (Community Day)Frustration (Shadow)Return (Purified)
0465,Tangrowth,Grass,207,184,225,15%,10%,InfestationVine Whip,Ancient PowerPower WhipRock SlideSludge BombSolar BeamFrustration (Shadow)Return (Purified)
0466,Electivire,Electric,249,163,181,15%,10%,Low KickThunder Shock,Ice PunchThunderThunder PunchWild ChargeFlamethrower (Community Day)Frustration (Shadow)Return (Purified)
0467,Magmortar,Fire,247,172,181,15%,10%,Fire SpinKarate Chop,Brick BreakFire BlastFire PunchPsychicScorching SandsThunderbolt (Community Day)Frustration (Shadow)Return (Purified)
0468,Togekiss,Fairy Flying,225,217,198,1%,5%,Air SlashCharmHidden Power,Aerial AceAncient PowerDazzling GleamFlamethrowerAura Sphere (Community Day)
0469,Yanmega,Bug Flying,231,156,200,17.5%,5%,Bug BiteWing Attack,Aerial AceAncient PowerBug Buzz
0470,Leafeon,Grass,216,219,163,12.5%,6%,Quick AttackRazor LeafBullet Seed (Community Day),Energy BallLeaf BladeSolar BeamLast Resort (Community Day)
0471,Glaceon,Ice,238,205,163,12.5%,6%,Frost BreathIce Shard,AvalancheIce BeamIcy WindLast Resort (Community Day)Water Pulse (Community Day)
0472,Gliscor,Ground Flying,185,222,181,12.5%,9%,Fury CutterWing Attack,Aerial AceEarthquakeNight SlashSand TombFrustration (Shadow)Return (Purified)
0473,Mamoswine,Ice Ground,247,146,242,5%,5%,Mud-SlapPowder Snow,AvalancheBulldozeHigh HorsepowerStone EdgeAncient Power (Community Day)Frustration (Shadow)Return (Purified)
0474,Porygon-Z,Normal,264,150,198,5%,5%,Charge BeamHidden PowerLock-On,BlizzardHyper BeamSolar BeamZap CannonTri Attack (Community Day)Frustration (Shadow)Return (Purified)
0475,Gallade,Psychic Fighting,237,195,169,50%,5%,CharmConfusionLow Kick,Close CombatLeaf BladePsychicSynchronoise (Community Day)Frustration (Shadow)Return (Purified)
0476,Probopass,Rock Steel,135,275,155,10%,7%,Rock ThrowSpark,Magnet BombRock SlideThunderboltZap CannonFrustration (Shadow)Return (Purified)
0477,Dusknoir,Ghost,180,254,128,10%,5%,AstonishHex,Dark PulseOminous WindPoltergeistPsychicShadow Ball (Community Day)Frustration (Shadow)Return (Purified)
0478,Froslass,Ice Ghost,171,150,172,20%,7%,HexPowder Snow,AvalancheCrunchShadow BallTriple AxelFrustration (Shadow)Return (Purified)
0479,Rotom,Electric Ghost,185,159,137,30%,10%,AstonishThunder Shock,Ominous WindThunderThunderbolt
0479,Rotom Wash Rotom,Electric Water,204,219,137,30%,10%,AstonishThunder Shock,Hydro PumpThunderThunderbolt
0479,Rotom Frost Rotom,Electric Ice,204,219,137,30%,10%,AstonishThunder Shock,BlizzardThunderThunderbolt
0479,Rotom Mow Rotom,Electric Grass,204,219,137,30%,10%,AstonishThunder Shock,Ominous WindThunderThunderbolt
0480,Uxie,Psychic,156,270,181,2%,0%,ConfusionExtrasensory,Future SightSwiftThunder
0481,Mesprit,Psychic,212,212,190,2%,0%,ConfusionExtrasensory,BlizzardFuture SightSwift
